address,quantity
0xdd25707686F358b51B6506470E7B3b692Af24FED,44
0x25C8a3407dC368935bb87BB66a5f2C2792d0D90c,43
0x6294625BF3544D045c7e5Cd6Af8CDc1a2e0F2DE2,42
0xc6ce918F2757e7Cc4D38830712a4d1d9A7E1522C,40
0xF3dBf679d5d1E5D97FD4d486276B1D361D2623a2,38
0x4eE77d7A485cFD4c7b522Dcef34194608582aDf7,34
0x4ff57F4a622Db3DC7017AEd300E2Bc9E7962f4a1,32
0x3436F6C682f090Aa2676E1fa20CC84a2C02C6e47,26
0x45B74f08d50F042C1eA2fc9C525B4e57E2ed63A6,26
0xf8165b7047952061D960D6D6f7D766F8aA9d18b3,26
0x77De78b96c9455Daa94dB1f9Ab972a9AA400fD2b,25
0x8F28C4Ee897cC3d75FC85C4594746Aaf114AaC4B,25
0x13F7F55D5Cfd5Aafa78B85C6c43dd670Faefc7a7,24
0x99e01e398D7e1f6FecE7633E0e37718f672734a0,21
0x1f0B25405c3E335AA0C0f2235D0dA2361Cc4694b,20
0x86c209E6a756125EE35812445cdEb50C2cF02799,20
0xAb8c082d3E54B01e46B60ff24d54E37c540E5A99,20
0xDF8D07DD7cDA8A0F5485ECF46483510Ac0CA0383,20
0x1BEa4ffe8bfe29AAbc559997b3BEe555f533e340,17
0x2dDD0332b3c9BA245542bB30676Eb0462B3E4538,17
0xe8863494ebfBf800fDD0a009022Be2A715ec329a,15
0xD0013D0D6aFCC1ad69A8A5d898A178C5ec03af4B,13
0x18fD80A3b06c540C5B8E4268DCcD4615165F32Bb,11
0xddeF3dca5B27622e53Bad51569db8f3F72EDd1F8,11
0x0A31aD183a84E021fC9bdEeECCaaDebc4eaB76E2,10
0x239Eb4148164a93008E35B3c707545bBf7cf7656,10
0x3dfbB0E222270E39D66dad432720507DA3B166Fb,10
0x4eA6728F89d1E55E855B925B4d0bdb557D0bDC9B,10
0x532fE4803fEcf5Bec78CB602c864792a490240A5,10
0x58DFe298b1484633b1F3F53B389a4FDd4B0bc269,10
0x88e343f8f42949a2b64E239eb0A90bd30fD33d65,10
0x8aeB311E3e9439b735A85c803e2ea41ecCF9b72B,10
0x8C88dd191a32DC8EA09f5414610da4B6DdFB7EbF,10
0xBf85e0cc3dd60867755Fe6800Cbb10009a43b0F8,10
0xD2f81788900416E049AAf68DDD75512525d7B744,10
0xDa22f5D526083d91985b2363E6E50Cf7a34cf58b,10
0xdd5329A5a74ACC882dc24871e3DA1C1aD41Bd732,10
0xF9e84654Fce40Cb5bE4fD1631E159f44aD09b87b,10
0x3B2a1180425C5D1364367Aa7309099748e534E2b,9
0xa2520159f15408AC76099c4a6338829B13010ff7,9
0x3f465455712d4A3aa10878ae9c7782210dfC7CBe,8
0xcAaDb073fFB83c0429059FE6cBabB8EF2620cDcf,8
0x28124C4905968D4e1d17096D790b1275078a312F,7
0xF2b3973e4f6ca444974EbC76A9D67938a6D5eB9d,7
0x997D4f80C8E17f7c2DdB2b7E3e5C34bfef1cd548,6
0x72B85907eAfaF074AFaA97Ee9CCf71a58805CA6A,5
0xB9ce9c0d5203304c48e319C64e4C7e37BD20426D,5
0x4CF080474548ab8fB3f216eB22014E59Ce07a9EA,4
0xbAF20956E444b6583A95fB96f4Df2C838e60B1a4,4
0xC1C41Cc93E5F18F6e77C3F5f7240Cd5692FB4825,4
0xCBBFa25947B4e78FD3D09388E2775AC228818a0a,4
0x29E87c059Bd4964151a2eC26c1e5A62634FE4430,3
0x4404a912dc2051384911c1C37d560e95D22C47Ae,3
0x6933194C91E0178bCc7917100FB69B74Ae9DB6aC,3
0x7eE5432bB4D615e50C4812c961584e21c060c232,3
0x9De8139Cf470557eE9584834b087707B8030a616,3
0xb8cB87cfbd6C5E26C2Cae11A3F5a2E33a82BA0Ba,3
0x03b7f682B017742F16378BeCDA9d97b9D5F36c67,2
0x0c5F624C4cD2971e1743D0527789c7d9DCfF1Be9,2
0x434c9094d1B8BBE4d2b98aE89491Cfa546117335,2
0x51F44956c62198c6Ea33e2d36aaEca84870510b9,2
0x52a7f4e8904F70Ea831ED31511b35AadCB36b1d9,2
