token_type,token_address,receiver,amount
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x58dfe298b1484633b1f3f53b389a4fdd4b0bc269,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x88e343f8f42949a2b64e239eb0a90bd30fd33d65,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x8aeb311e3e9439b735a85c803e2ea41eccf9b72b,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x8c88dd191a32dc8ea09f5414610da4b6ddfb7ebf,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xbf85e0cc3dd60867755fe6800cbb10009a43b0f8,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xd2f81788900416e049aaf68ddd75512525d7b744,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xda22f5d526083d91985b2363e6e50cf7a34cf58b,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xdd5329a5a74acc882dc24871e3da1c1ad41bd732,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xf9e84654fce40cb5be4fd1631e159f44ad09b87b,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x3b2a1180425c5d1364367aa7309099748e534e2b,69
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xa2520159f15408ac76099c4a6338829b13010ff7,69
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x3f465455712d4a3aa10878ae9c7782210dfc7cbe,61
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xcaadb073ffb83c0429059fe6cbabb8ef2620cdcf,61
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x28124c4905968d4e1d17096d790b1275078a312f,54
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xf2b3973e4f6ca444974ebc76a9d67938a6d5eb9d,54
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x997d4f80c8e17f7c2ddb2b7e3e5c34bfef1cd548,46
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x72b85907eafaf074afaa97ee9ccf71a58805ca6a,38
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xb9ce9c0d5203304c48e319c64e4c7e37bd20426d,38
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x4cf080474548ab8fb3f216eb22014e59ce07a9ea,31
