token_type,token_address,receiver,amount
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x2dDD0332b3c9BA245542bB30676Eb0462B3E4538,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x2FcBF02b07C1f7D574C89be556313f8852a9aac9,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x2fE86324E52b743C5dBD0c61F2dAF838a91c25c8,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x3077874973d799ACADBa8203cfb874D3D2EF80a3,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x3131ca36d28286c61d73e31b8232E2d468f3ab90,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x3136cADEB9c79D6fc1585a2dAA6cd830D8d19BBB,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x315f672b80064b33e07104A1Cc1D2a261cb02c37,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x318E96662519F5460bA04D12ee3eCD43E7bDC200,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x33A1AfE87b142D2eA51a9CB36d037F049d759713,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x352140eb74Cae24c9BeE7de1884a4Ac5A38bC702,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x355B89C4Dc3Eb4be09BB3BDa85E39a82a8575755,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x35C9178B6979323Dfb13856EAF6bac03F403a51C,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x370aB038b818E535cd4CB9f8e59260049E8078B8,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x373C1C5f0D6c6B317378067Bca6149c000876cCA,20000
